split,source_index,dataset,task
probe-train,9978,Fruits and Vegetables Prices Dataset,Distribution Compliance Test
probe-train,6801,Stroke Prediction Dataset,Variance Test
probe-train,8291,Student Performance Prediction Dataset,Descriptive Statistics
probe-train,5452,Los Angeles Library Monthly Statistics,Distribution Compliance Test
probe-train,143,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,6393,Income and Happiness Score Dataset,Variance Test
probe-train,5932,Crop Production Dataset,Variance Test
probe-train,5168,Obesity or CVD Risk Dataset,Variance Test
probe-train,5286,Los Angeles Library Monthly Statistics,Variance Test
probe-train,8913,Crop Production Dataset,Distribution Compliance Test
probe-train,9182,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,7030,Video Games Sales Dataset,Descriptive Statistics
probe-train,5613,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,7121,Video Games Sales Dataset,Distribution Compliance Test
probe-train,9637,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,4890,Obesity or CVD Risk Dataset,Contingency Table Test
probe-train,7485,University Rank Dataset,Descriptive Statistics
probe-train,9817,FIFA Official Dataset 2023,Contingency Table Test
probe-train,2020,Customer Personality Analysis Dataset,Distribution Compliance Test
probe-train,7736,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,1441,Pokedex Dataset,Variance Test
probe-train,3902,Stroke Prediction Dataset,Contingency Table Test
probe-train,8250,FIFA Official Dataset 2023,Variance Test
probe-train,2819,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,5943,Terrorist Attacks Dataset,Descriptive Statistics
probe-train,1533,Crop Production Dataset,Distribution Compliance Test
probe-train,4413,Exercise and Fitness Metrics Dataset,Variance Test
probe-train,6673,Real Estate Valuation Dataset,Descriptive Statistics
probe-train,5310,US Christmas Tree Sales Dataset,Distribution Compliance Test
probe-train,8703,Los Angeles Library Monthly Statistics,Variance Test
probe-train,1324,Terrorist Attacks Dataset,Distribution Compliance Test
probe-train,8208,Student Performance Prediction Dataset,Contingency Table Test
probe-train,4679,Rainfall Dataset of Barak Velly,Descriptive Statistics
probe-train,120,Student Performance Prediction Dataset,Contingency Table Test
probe-train,2002,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,5345,Students Math-Reading-Writing Performance Dataset,Descriptive Statistics
probe-train,7364,Stroke Prediction Dataset,Contingency Table Test
probe-train,5723,Advertising Budget and Sales Dataset,Descriptive Statistics
probe-train,4842,Terrorist Attacks Dataset,Distribution Compliance Test
probe-train,2043,Fruits and Vegetables Prices Dataset,Descriptive Statistics
probe-train,3035,Terrorist Attacks Dataset,Descriptive Statistics
probe-train,5499,Crop Production Dataset,Descriptive Statistics
probe-train,4426,Student Performance Prediction Dataset,Contingency Table Test
probe-train,2250,Income and Happiness Score Dataset,Descriptive Statistics
probe-train,7813,Customer Personality Analysis Dataset,Correlation Analysis
probe-train,8697,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,9661,Fruits and Vegetables Prices Dataset,Distribution Compliance Test
probe-train,9972,Crop Production Dataset,Descriptive Statistics
probe-train,4711,Student Performance Prediction Dataset,Contingency Table Test
probe-train,3456,Students New MRW Score Dataset,Correlation Analysis
probe-train,4296,Used Car Dataset,Descriptive Statistics
probe-train,1668,Crop Production Dataset,Variance Test
probe-train,3222,Dataset for Admission in the University,Contingency Table Test
probe-train,3528,Customer Personality Analysis Dataset,Descriptive Statistics
probe-train,9757,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,2081,Salary Dataset by Job Title and Country,Contingency Table Test
probe-train,560,GPA Study Hours Dataset,Distribution Compliance Test
probe-train,9279,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,6070,Terrorist Attacks Dataset,Distribution Compliance Test
probe-train,1296,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,8796,Terrorist Attacks Dataset,Descriptive Statistics
probe-train,953,Student Performance Prediction Dataset,Contingency Table Test
probe-train,8445,Terrorist Attacks Dataset,Distribution Compliance Test
probe-train,1665,Lung Cancer Survey Dataset,Descriptive Statistics
probe-train,3474,Exercise and Fitness Metrics Dataset,Variance Test
probe-train,5558,Real Estate Valuation Dataset,Distribution Compliance Test
probe-train,4062,Heart Failure Prediction Dataset,Distribution Compliance Test
probe-train,5187,Netflix TV Shows and Movies Scores Dataset in IMDB,Descriptive Statistics
probe-train,8740,US Christmas Tree Sales Dataset,Descriptive Statistics
probe-train,696,Used Car Dataset,Variance Test
probe-train,4264,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,488,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,6713,Crop Production Dataset,Variance Test
probe-train,1523,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,1810,US Christmas Tree Sales Dataset,Descriptive Statistics
probe-train,5805,Crop Production Dataset,Variance Test
probe-train,2282,Used Car Dataset,Variance Test
probe-train,1241,Student Performance Prediction Dataset,Variance Test
probe-train,8207,Crop Production Dataset,Variance Test
probe-train,371,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,8573,Student Performance Prediction Dataset,Contingency Table Test
probe-train,1162,Dataset for Admission in the University,Descriptive Statistics
probe-train,9969,Income and Happiness Score Dataset,Descriptive Statistics
probe-train,4228,Student Performance Prediction Dataset,Contingency Table Test
probe-train,5707,Student Performance Prediction Dataset,Contingency Table Test
probe-train,6657,Customer Personality Analysis Dataset,Descriptive Statistics
probe-train,3765,Student Performance Prediction Dataset,Contingency Table Test
probe-train,5024,Student Performance Prediction Dataset,Contingency Table Test
probe-train,3013,Los Angeles Library Monthly Statistics,Variance Test
probe-train,7663,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,5626,Los Angeles Library Monthly Statistics,Correlation Analysis
probe-train,6593,Los Angeles Library Monthly Statistics,Distribution Compliance Test
probe-train,10192,Student Performance Prediction Dataset,Correlation Analysis
probe-train,6687,Terrorist Attacks Dataset,Distribution Compliance Test
probe-train,2399,Dataset for Admission in the University,Variance Test
probe-train,2513,Fruits and Vegetables Prices Dataset,Descriptive Statistics
probe-train,3237,Pokedex Dataset,Contingency Table Test
probe-train,8185,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,8012,Fruits and Vegetables Prices Dataset,Descriptive Statistics
probe-train,4126,Pokedex Dataset,Variance Test
probe-train,8086,Stroke Prediction Dataset,Descriptive Statistics
probe-train,9098,Lung Cancer Survey Dataset,Descriptive Statistics
probe-train,2420,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,961,Los Angeles Library Monthly Statistics,Distribution Compliance Test
probe-train,3560,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,6105,Crop Production Dataset,Variance Test
probe-train,8198,Real Estate Valuation Dataset,Correlation Analysis
probe-train,7200,Student Performance Prediction Dataset,Correlation Analysis
probe-train,9484,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,7895,Customer Personality Analysis Dataset,Distribution Compliance Test
probe-train,1763,Student Performance Prediction Dataset,Descriptive Statistics
probe-train,4966,Bank Customer Churn Prediction Dataset,Descriptive Statistics
probe-train,1640,Students New MRW Score Dataset,Descriptive Statistics
probe-train,7621,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,8377,Students New MRW Score Dataset,Descriptive Statistics
probe-train,7070,Fruits and Vegetables Prices Dataset,Descriptive Statistics
probe-train,1799,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,930,Pokedex Dataset,Distribution Compliance Test
probe-train,8908,Crop Production Dataset,Variance Test
probe-train,9305,Obesity or CVD Risk Dataset,Descriptive Statistics
probe-train,1681,Fruits and Vegetables Prices Dataset,Distribution Compliance Test
probe-train,9821,Los Angeles Library Monthly Statistics,Correlation Analysis
probe-train,3953,Crop Production Dataset,Variance Test
probe-train,8685,Crop Production Dataset,Variance Test
probe-train,562,Stroke Prediction Dataset,Descriptive Statistics
probe-train,8465,Obesity or CVD Risk Dataset,Distribution Compliance Test
probe-train,3338,Student Information and Grades Dataset,Contingency Table Test
probe-train,5920,Salary Dataset by Job Title and Country,Distribution Compliance Test
probe-train,9658,Income and Happiness Score Dataset,Correlation Analysis
probe-train,7529,Student Performance Prediction Dataset,Contingency Table Test
probe-train,9196,Salary Dataset by Job Title and Country,Descriptive Statistics
probe-train,2270,Income and Happiness Score Dataset,Distribution Compliance Test
probe-train,10364,Housing Price Dataset,Distribution Compliance Test
probe-train,1271,Student Performance Prediction Dataset,Correlation Analysis
probe-train,191,Crop Production Dataset,Variance Test
probe-train,1506,Exercise and Fitness Metrics Dataset,Correlation Analysis
probe-train,1557,Crop Production Dataset,Variance Test
probe-train,8473,Crop Production Dataset,Distribution Compliance Test
probe-train,7490,Terrorist Attacks Dataset,Correlation Analysis
probe-train,9042,Income and Happiness Score Dataset,Distribution Compliance Test
probe-train,9799,Student Performance Prediction Dataset,Contingency Table Test
probe-train,1373,Pokedex Dataset,Variance Test
probe-train,8924,Heart Failure Prediction Dataset,Distribution Compliance Test
probe-train,6680,Terrorist Attacks Dataset,Descriptive Statistics
probe-train,3297,Crop Production Dataset,Distribution Compliance Test
probe-train,10083,Income and Happiness Score Dataset,Distribution Compliance Test
probe-train,8732,Salary Dataset by Job Title and Country,Descriptive Statistics
probe-train,7074,Obesity or CVD Risk Dataset,Distribution Compliance Test
probe-train,10349,Students New MRW Score Dataset,Distribution Compliance Test
probe-train,6456,Dataset for Admission in the University,Descriptive Statistics
probe-train,2806,Los Angeles Library Monthly Statistics,Correlation Analysis
probe-train,10078,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,3825,Used Car Dataset,Descriptive Statistics
probe-train,3182,Income and Happiness Score Dataset,Correlation Analysis
probe-train,5782,Terrorist Attacks Dataset,Distribution Compliance Test
probe-train,9065,University Rank Dataset,Distribution Compliance Test
probe-train,1424,Rainfall Dataset of Barak Velly,Descriptive Statistics
probe-train,9870,Pokedex Dataset,Correlation Analysis
probe-train,1839,Los Angeles Library Monthly Statistics,Distribution Compliance Test
probe-train,942,Los Angeles Library Monthly Statistics,Correlation Analysis
probe-train,8016,Crop Production Dataset,Variance Test
probe-train,1497,Terrorist Attacks Dataset,Descriptive Statistics
probe-train,5586,Salary Dataset by Job Title and Country,Contingency Table Test
probe-train,3607,Los Angeles Library Monthly Statistics,Descriptive Statistics
probe-train,3943,Used Car Dataset,Descriptive Statistics
probe-train,468,Los Angeles Library Monthly Statistics,Variance Test
probe-train,6377,Student Performance Prediction Dataset,Distribution Compliance Test
probe-train,5638,Exercise and Fitness Metrics Dataset,Variance Test
probe-train,9148,Video Games Sales Dataset,Distribution Compliance Test
probe-train,2000,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,4141,FIFA Official Dataset 2023,Descriptive Statistics
probe-train,429,Crop Production Dataset,Descriptive Statistics
probe-train,10061,Dataset for Admission in the University,Descriptive Statistics
probe-train,4319,Exercise and Fitness Metrics Dataset,Variance Test
probe-train,7039,Student Performance Prediction Dataset,Contingency Table Test
probe-train,137,Heart Failure Prediction Dataset,Correlation Analysis
probe-train,10212,Income and Happiness Score Dataset,Descriptive Statistics
probe-train,8470,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,4941,Student Performance Prediction Dataset,Contingency Table Test
probe-train,542,GPA Study Hours Dataset,Descriptive Statistics
probe-train,10445,Lung Cancer Survey Dataset,Contingency Table Test
probe-train,5257,Crop Production Dataset,Variance Test
probe-train,4111,Salary Dataset by Job Title and Country,Descriptive Statistics
probe-train,6469,Used Car Dataset,Descriptive Statistics
probe-train,6520,Pokedex Dataset,Variance Test
probe-train,9863,Heart Failure Prediction Dataset,Contingency Table Test
probe-train,5075,US Christmas Tree Sales Dataset,Correlation Analysis
probe-train,7831,Used Car Dataset,Variance Test
probe-train,8179,Terrorist Attacks Dataset,Descriptive Statistics
probe-train,9770,Terrorist Attacks Dataset,Correlation Analysis
